System Properties
Collision Frequency :0.228000
Pressure: 0.005460
Temparature: 0.000362
rms Velocity: 0.010000
Mean Free Path: 0.430663

particle states
0.066732 0.528804 0.017419 -0.001901
0.084151 0.526903 0.017419 -0.001901
0.101570 0.525001 0.017419 -0.001901
0.118988 0.523100 0.017419 -0.001901
0.136407 0.521198 0.017419 -0.001901
0.153826 0.519297 0.017419 -0.001901
0.171244 0.517395 0.017419 -0.001901
0.188663 0.515494 0.017419 -0.001901
0.206082 0.513593 0.017419 -0.001901
0.223501 0.511691 0.017419 -0.001901
0.240919 0.509790 0.017419 -0.001901
0.258338 0.507888 0.017419 -0.001901
0.275757 0.505987 0.017419 -0.001901
0.293175 0.504085 0.017419 -0.001901
0.310594 0.502184 0.017419 -0.001901
0.328013 0.500282 0.017419 -0.001901
0.345431 0.498381 0.017419 -0.001901
0.362850 0.496480 0.017419 -0.001901
0.380269 0.494578 0.017419 -0.001901
0.397687 0.492677 0.017419 -0.001901
0.415106 0.490775 0.017419 -0.001901
0.432525 0.488874 0.017419 -0.001901
0.449943 0.486972 0.017419 -0.001901
0.467362 0.485071 0.017419 -0.001901
0.484781 0.483170 0.017419 -0.001901
0.502200 0.481268 0.017419 -0.001901
0.519618 0.479367 0.017419 -0.001901
0.537037 0.477465 0.017419 -0.001901
0.554456 0.475564 0.017419 -0.001901
0.571874 0.473662 0.017419 -0.001901
0.589293 0.471761 0.017419 -0.001901
0.606712 0.469859 0.017419 -0.001901
0.624130 0.467958 0.017419 -0.001901
0.641549 0.466057 0.017419 -0.001901
0.658968 0.464155 0.017419 -0.001901
0.676386 0.462254 0.017419 -0.001901
0.693805 0.460352 0.017419 -0.001901
0.711224 0.458451 0.017419 -0.001901
0.728642 0.456549 0.017419 -0.001901
0.746061 0.454648 0.017419 -0.001901
0.763480 0.452747 0.017419 -0.001901
0.780898 0.450845 0.017419 -0.001901
0.798317 0.448944 0.017419 -0.001901
0.815736 0.447042 0.017419 -0.001901
